PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
Nafm7,8/8/2n5/P2k1P1p/1pp5/2B1K2P/8/8 w - - 0 56,c3b4 c6b4 e3d2 d5d6 d2c3 d6c5,2972,104,91,1468,crushing defensiveMove endgame hangingPiece long,https://lichess.org/29xn7v08#111,
bjEXp,7r/7k/pq1PpQ2/8/5P2/6P1/2R3K1/2R5 w - - 3 44,f6f5 e6f5 c2c7 h7g6 d6d7 b6b5 c1c6 g6h5 c7c8 h8g8 g2f2 b5b2,2969,104,85,178,crushing endgame hangingPiece veryLong,https://lichess.org/c5cNPU57#87,
l8LVj,R1r1k1r1/1Q1n4/3Bp2p/5pp1/3P4/2q1PK2/7P/8 b - - 1 27,e8f7 b7d7 f7g6 d7e6 g6h5 a8a6 c8c6 e6g8 g5g4 f3f4 c6a6 g8f7 h5h4 f7f5 h6h5 d6e7 h4h3 f5h5 h3g2 h5g4,2968,130,88,1458,crushing deflection hangingPiece middlegame quietMove veryLong,https://lichess.org/VP2Yy5MW/black#54,
h1wzT,7k/4qp1n/5n1P/4pP2/4P3/5P2/3Q3K/8 b - - 0 44,h7g5 d2g5 f6g4 g5g4 e7f6 g4h5 f6b6 h2h3 b6e3 h6h7 e3f4 h5g4 f4h6 g4h4 f7f6 f3f4 h6f8 f4e5,2967,122,78,854,advancedPawn crushing endgame hangingPiece master veryLong,https://lichess.org/TSvVclKY/black#88,
kceiW,r5rk/pp2pQbp/4N1p1/2BPq3/2p1N1n1/8/P1P3PP/R4R1K w - - 2 22,f1f4 e5a1 c5g1 g8f8 e6f8 a8f8,2967,120,87,785,advantage hangingPiece long middlegame pin,https://lichess.org/OtCJq75k#43,
lFHmk,2r5/kp1n1p2/P2Ppqp1/8/Q4P1p/8/4r1P1/3R1RK1 b - - 0 30,b7a6 a4d7 a7b8 d1b1 e2b2 d7a4,2966,114,88,864,advantage fork hangingPiece long middlegame,https://lichess.org/KvaNWxhA/black#60,
fMAii,r4n1k/1b3Q1p/5prP/5N2/P2BP3/KP6/4q3/8 b - - 2 36,a8a4 b3a4 g6g3 a3b4 e2d2 b4b5 g3b3 f7b3,2966,119,90,815,crushing hangingPiece middlegame veryLong,https://lichess.org/AMDI2lzl/black#72,
G7dBl,r3r1k1/ppq2p1p/2n2p2/3Q4/3P4/2PB1P2/P4P1P/R4RK1 w - - 1 16,d3h7 g8h7 g1h1 h7h6 f1g1 e8g8 d5f5 g8g6 g1g6 f7g6,2964,124,90,2247,advantage hangingPiece middlegame veryLong,https://lichess.org/bP3HLHWb#31,French_Defense French_Defense_Exchange_Variation
C5YVY,6rk/3Q1Rpp/1p3n2/1P5q/4p3/4PP2/5P1P/5R1K w - - 2 36,f7f6 g7f6 d7d1 h5h3 f1g1 e4f3 e3e4 g8g1,2963,110,86,242,crushing endgame hangingPiece veryLong,https://lichess.org/WZ2QBi5z#71,
foJOL,rn2r1k1/2N3pp/3R4/p3p3/1p6/1Pp5/5PPP/5RK1 b - - 1 22,e8c8 c7a8 c3c2 f1c1 a5a4 a8b6 a4b3 b6c8 b3b2 d6d8 g8f7 d8d1 b2c1b d1c1 b4b3 c8d6 f7g6 d6c4,2963,115,89,1389,advantage endgame hangingPiece quietMove veryLong,https://lichess.org/gOsXrE7C/black#44,
